model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP_Morph,48,1,True,0.5,414.22,True,both,0.4126,0.5285,0.5664,0.27,0.6674,1.0,0.7464,0.9984,0.5549,0.8051,59954785
Inf-Net_DP_Morph,48,2,True,0.5,414.22,True,both,0.4092,0.5061,0.5685,0.2506,0.6321,1.0,0.7779,0.9963,0.5655,0.7714,59954786
Inf-Net_DP_Morph,48,3,True,0.5,414.22,True,both,0.452,0.5588,0.5963,0.2284,0.6605,1.0,0.8004,0.9968,0.6046,0.81,59954787
Inf-Net_DP_Morph,48,1,True,0.5,414.22,True,close,0.4334,0.5358,0.5851,0.2447,0.6598,1.0,0.7781,0.9887,0.5799,0.787,59954782
Inf-Net_DP_Morph,48,2,True,0.5,414.22,True,close,0.4236,0.5242,0.5657,0.2582,0.6653,1.0,0.7659,0.9988,0.5704,0.7902,59954783
Inf-Net_DP_Morph,48,3,True,0.5,414.22,True,close,0.4347,0.5426,0.5875,0.2408,0.6581,1.0,0.7854,0.9993,0.588,0.7985,59954784
Inf-Net_DP_Morph,48,1,True,0.5,414.22,True,dilation,0.4196,0.5409,0.588,0.2358,0.6271,1.0,0.7929,0.9976,0.5781,0.8069,59954788
Inf-Net_DP_Morph,48,2,True,0.5,414.22,True,dilation,0.4448,0.5663,0.5967,0.2301,0.6662,1.0,0.7954,0.9911,0.5912,0.811,59954789
Inf-Net_DP_Morph,48,3,True,0.5,414.22,True,dilation,0.4286,0.539,0.5853,0.2364,0.646,1.0,0.7929,0.9987,0.5843,0.7992,59954790
Inf-Net_DP_Morph,48,1,True,0.5,414.22,True,erosion,0.4538,0.5633,0.5889,0.2376,0.6908,1.0,0.7848,0.9997,0.5946,0.8079,59954791
Inf-Net_DP_Morph,48,2,True,0.5,414.22,True,erosion,0.4534,0.5569,0.5897,0.2397,0.6935,1.0,0.7829,0.9989,0.5943,0.7959,59954792
